Country,Job Title,Age Group,Quantity,Percentage
France,Database Manager,50-69,4,0.04%
Italy,Data Warehouse Specialist,30-49,4,0.04%
Italy,Data Warehouse Specialist,50-69,4,0.04%
Poland,Database Engineer,30-49,4,0.04%
France,Data Scientist,50-69,4,0.04%
France,Data Coordinator,30-49,4,0.04%
France,Data Warehouse Analyst,30-49,4,0.04%
Poland,Data Operations Director,50-69,4,0.04%
France,Data Coordinator,18-29,4,0.04%
France,Data Communications Software Consultant,50-69,4,0.04%
Netherlands,"Engineer, System Electronic Data Processing (Engineer, System EDP)",50-69,4,0.04%
Poland,Data Processing Manager,50-69,4,0.04%
France,Data Base Design Analyst,50-69,4,0.04%
Poland,Data Communications Analyst,30-49,4,0.04%
France,Data Coordinator,50-69,4,0.04%
France,Data Entry Clerk,50-69,4,0.04%
Italy,Database Engineer,50-69,4,0.04%
France,Data Architect,30-49,4,0.04%
Poland,Database Specialist,30-49,4,0.04%
Italy,Data Communications Analyst,30-49,4,0.04%
France,Data Warehouse Developer,50-69,4,0.04%
Netherlands,Data Processing Systems Analyst,50-69,4,0.04%
France,Data Warehouse Specialist,30-49,4,0.04%
Italy,Data Coordinator,30-49,4,0.04%
France,Data Warehousing Specialist,50-69,4,0.04%
Italy,Data Input Clerk,50-69,4,0.04%
Romania,Data Security Analyst,30-49,4,0.04%
France,Automatic Data Processing Planner,30-49,4,0.04%
Poland,Data Warehouse Developer,30-49,4,0.04%
Italy,Data Processing Consultant,50-69,4,0.04%
Germany,Database Specialist,30-49,4,0.04%
Poland,Databases Software Consultant,50-69,4,0.04%
Estonia,Unemployed,18-29,4,0.04%
Great Britain,Customer Data Technician,50-69,4,0.04%
Germany,Data Warehouse Specialist,50-69,4,0.04%
Great Britain,Data Administrator,30-49,4,0.04%
Germany,Data Warehouse Developer,30-49,4,0.04%
Germany,Data Warehouse Developer,18-29,4,0.04%
Germany,Data Warehouse Architect,30-49,4,0.04%
Italy,Geographic Information Systems Data Specialist (GIS Data Specialist),30-49,4,0.04%
Germany,Database Analyst,50-69,4,0.04%
Germany,Data Systems Manager,50-69,4,0.04%
Great Britain,Data Coordinator,30-49,4,0.04%
Portugal,Data Coordinator,50-69,4,0.04%
Great Britain,Data Entry Operator,50-69,4,0.04%
Great Britain,Data Miner,30-49,4,0.04%
Germany,Data Security Administrator,18-29,4,0.04%
Portugal,Data Processing Consultant,50-69,4,0.04%
Italy,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,4,0.04%
Germany,Data Processing Manager,18-29,4,0.04%
Germany,Head of Information Systems and Data Processing,30-49,4,0.04%
Germany,Database Software Technician,30-49,4,0.04%
Germany,Database Software Technician,18-29,4,0.04%
Germany,Electronic Data Interchange System Developer (EDI System Developer),30-49,4,0.04%
Germany,Electronic Data Processing Auditor (EDP Auditor),50-69,4,0.04%
Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),50-69,4,0.04%
Germany,Geographic Information Systems Data Specialist (GIS Data Specialist),30-49,4,0.04%
Germany,Internet Database Specialist,30-49,4,0.04%
Germany,Database Architect,30-49,4,0.04%
Germany,SQL Database Administrator,50-69,4,0.04%
Germany,Database Designer,50-69,4,0.04%
Germany,Database Design Analyst,50-69,4,0.04%
Germany,Database Coordinator,50-69,4,0.04%
Germany,Database Consultant,30-49,4,0.04%
Italy,Geographic Information Systems Database Administrator (GIS Database Administrator),30-49,4,0.04%
Germany,Data Processing Systems Analyst,30-49,4,0.04%
Great Britain,Data Scientist,30-49,4,0.04%
France,Database Modeler,30-49,4,0.04%
Great Britain,Geographic Information Systems Data Administrator (GIS Data Administrator),30-49,4,0.04%
Romania,Data Management Associate,50-69,4,0.04%
France,Head of Information Systems and Data Processing,30-49,4,0.04%
France,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,4,0.04%
Great Britain,Databases Computer Consultant,50-69,4,0.04%
Great Britain,Electronic Data Interchange System Developer (EDI System Developer),50-69,4,0.04%
France,Director of Data Operations,18-29,4,0.04%
Great Britain,Geographic Information Systems Data Specialist (GIS Data Specialist),30-49,4,0.04%
Great Britain,Database Software Technician,30-49,4,0.04%
France,Databases Computer Consultant,50-69,4,0.04%
Great Britain,Internet Database Specialist,30-49,4,0.04%
Poland,Electronic Data Interchange System Developer (EDI System Developer),50-69,4,0.04%
Italy,Database Software Technician,30-49,4,0.04%
Poland,Director of Data Operations,30-49,4,0.04%
Romania,Data Processing Systems Project Planner,50-69,4,0.04%
Great Britain,Database Specialist,30-49,4,0.04%
Italy,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",50-69,4,0.04%
Great Britain,Data Storage Specialist,50-69,4,0.04%
Great Britain,Database Administration Associate,18-29,4,0.04%
Germany,Data Officer,18-29,4,0.04%
Italy,Electronic Data Interchange System Developer (EDI System Developer),30-49,4,0.04%
Great Britain,Data Warehouse Analyst,30-49,4,0.04%
Romania,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,4,0.04%
Great Britain,Data Warehouse Analyst,50-69,4,0.04%
Great Britain,Data Warehouse Developer,50-69,4,0.04%
Great Britain,Database Administration Manager,30-49,4,0.04%
Great Britain,Database Marketing Analyst,30-49,4,0.04%
Germany,Computer or Data Processing Systems Consultant,30-49,4,0.04%
Germany,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,4,0.04%
Great Britain,Database Development and Administration Project Manager,50-69,4,0.04%
Great Britain,Database Engineer,30-49,4,0.04%
Great Britain,Database Engineer,50-69,4,0.04%
Italy,Internet Database Specialist,30-49,4,0.04%
France,Geographic Information Systems Data Manager (GIS Data Manager),50-69,4,0.04%
Germany,Data Warehousing Manager,30-49,4,0.04%
Spain,Data Processing Consultant,30-49,4,0.04%
Spain,Databases Computer Consultant,30-49,4,0.04%
Spain,Data Communications Analyst,50-69,4,0.04%
Spain,Database Administration Associate,50-69,4,0.04%
Spain,Data Warehouse Specialist,50-69,4,0.04%
Spain,Data Warehouse Specialist,30-49,4,0.04%
Spain,Database Development and Administration Project Manager,50-69,4,0.04%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),30-49,4,0.04%
Spain,Database Security Administrator,30-49,4,0.04%
Spain,Database Software Technician,30-49,4,0.04%
Spain,Data Management Information Technology Specialist,50-69,4,0.04%
Spain,Automatic Data Processing Planner,50-69,4,0.04%
Spain,Automatic Data Processing Planner,30-49,4,0.04%
Spain,Oracle Database Administrator (Oracle DBA),50-69,4,0.04%
Spain,Database Security Administrator,50-69,4,0.04%
Spain,Data Scientist,50-69,4,0.04%
Spain,Databases Software Consultant,50-69,4,0.04%
Spain,Data Miner,50-69,4,0.04%
Spain,Data Sciences Director,50-69,4,0.04%
Slovenia,Unemployed,30-49,4,0.04%
Denmark,Data Communications Software Consultant,50-69,4,0.04%
Romania,Computer or Data Processing Systems Consultant,50-69,3,0.03%
Germany,Data Management Information Technology Specialist,30-49,3,0.03%
Italy,Data Entry Supervisor,50-69,3,0.03%
Spain,Data Processing Auditor,50-69,3,0.03%
Germany,Data Management Information Technology Specialist,18-29,3,0.03%
Germany,Data Management Associate,50-69,3,0.03%
Romania,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,3,0.03%
Italy,Data Processor,50-69,3,0.03%
Germany,Data Coordinator,30-49,3,0.03%
Poland,Database Security Expert,30-49,3,0.03%
Spain,Data Coordinator,30-49,3,0.03%
Germany,Data Conversion Operator,50-69,3,0.03%
Germany,Data Warehousing Manager,50-69,3,0.03%
Germany,Data Warehousing Specialist,18-29,3,0.03%
Germany,Data Communications Software Consultant,50-69,3,0.03%
Spain,Data Compiler,30-49,3,0.03%
Germany,Data Collection Technician,50-69,3,0.03%
Italy,Data Processing Systems Analyst,50-69,3,0.03%
Germany,Data Modeling Specialist,30-49,3,0.03%
Germany,Data Miner,30-49,3,0.03%
Germany,Data Processing Systems Analyst,50-69,3,0.03%
Poland,Databases Computer Consultant,50-69,3,0.03%
Germany,Data Security Analyst,50-69,3,0.03%
Germany,Data Security Administrator,50-69,3,0.03%
Italy,Data Manager,50-69,3,0.03%
Spain,Data Management Associate,30-49,3,0.03%
Germany,Data Scientist,30-49,3,0.03%
Germany,Data Processing Systems Project Planner,30-49,3,0.03%
Romania,Data Administrator,50-69,3,0.03%
Spain,Data Operations Director,50-69,3,0.03%
Netherlands,Database Coordinator,30-49,3,0.03%
Sweden,Data Processing Manager,50-69,3,0.03%
Poland,Database Tester,50-69,3,0.03%
Italy,Data Processing Manager,50-69,3,0.03%
Germany,Data Processing Auditor,50-69,3,0.03%
Germany,Data Operations Director,50-69,3,0.03%
Czechia,Data Officer,30-49,3,0.03%
Italy,Data Security Administrator,50-69,3,0.03%
Italy,Data Processing Systems Project Planner,30-49,3,0.03%
Germany,Data Center Operator,50-69,3,0.03%
France,Database Development and Administration Project Manager,30-49,3,0.03%
Poland,Database Management System Specialist (DBMS Specialist),50-69,3,0.03%
