,vote,pro_args,con_args
24,I would probably vote against it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
25,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working
26,I would probably vote against it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
27,I would probably vote against it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
28,I would probably vote against it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state | It increases dependence on the state
29,I would vote for it,None of the above,None of the above
30,I would probably vote for it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
31,I would probably vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It increases dependence on the state | It is impossible to finance
32,I would probably vote against it,None of the above,It might encourage people to stop working
33,I would probably vote for it,"It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It creates more equality of opportunity",It increases dependence on the state
34,I would probably vote against it,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
35,I would probably vote against it,None of the above,None of the above
36,I would probably vote for it,It reduces anxiety about financing basic needs,It increases dependence on the state
37,I would vote against it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It increases dependence on the state
38,I would probably vote for it,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
39,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward
40,I would probably vote against it,None of the above,It is impossible to finance | It might encourage people to stop working | Only the people who need it most should get something from the state
41,I would probably vote against it,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
42,I would not vote,None of the above,None of the above
43,I would probably vote for it,It reduces anxiety about financing basic needs,It increases dependence on the state
44,I would vote against it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward
45,I would not vote,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
46,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It increases dependence on the state | It might encourage people to stop working
47,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above
48,I would vote against it,None of the above,It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state
49,I would probably vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
50,I would vote against it,It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
51,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working
52,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
53,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
54,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state
55,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
56,I would vote for it,It creates more equality of opportunity,It might encourage people to stop working
57,I would vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It might encourage people to stop working
58,I would vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit
59,I would probably vote for it,"It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
60,I would probably vote against it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
61,I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working
62,I would probably vote against it,It reduces anxiety about financing basic needs,It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working | Only the people who need it most should get something from the state
63,I would not vote,None of the above,None of the above
64,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
65,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is impossible to finance
66,I would probably vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state | It is impossible to finance
67,I would probably vote for it,"It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state
68,I would vote against it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working
69,I would probably vote against it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward
70,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
71,I would vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
72,I would probably vote for it,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working
73,I would not vote,None of the above,None of the above
74,I would probably vote for it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
75,I would probably vote for it,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state | It is impossible to finance | It is against the principle of linking merit and reward
76,I would probably vote against it,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward
77,I would vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
78,I would not vote,None of the above,None of the above
79,I would probably vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
80,I would probably vote against it,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
81,I would probably vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
82,I would probably vote for it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | It is against the principle of linking merit and reward
83,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state
84,I would probably vote for it,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit
85,I would probably vote against it,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
86,I would vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
87,I would vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
88,I would not vote,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
89,I would vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
90,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
91,I would probably vote for it,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
92,I would vote for it,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state
93,I would vote against it,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | It is against the principle of linking merit and reward
94,I would probably vote against it,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit
95,I would not vote,None of the above,None of the above
96,I would vote for it,"It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",None of the above
97,I would probably vote against it,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
98,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance
99,I would vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
100,I would not vote,None of the above,None of the above
101,I would probably vote for it,It encourages financial independence and self-responsibility,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward
102,I would vote for it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | Only the people who need it most should get something from the state
103,I would not vote,It encourages financial independence and self-responsibility,It is impossible to finance
104,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state
105,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state
106,I would probably vote against it,It increases appreciation for household work and volunteering,It increases dependence on the state | It is impossible to finance | Only the people who need it most should get something from the state
107,I would probably vote for it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
108,I would vote for it,It creates more equality of opportunity | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance
109,I would probably vote against it,None of the above,It is impossible to finance
110,I would vote for it,"It increases solidarity, because it is funded by everyone",It is impossible to finance
111,I would probably vote for it,None of the above,None of the above
112,I would vote against it,It increases appreciation for household work and volunteering,It might encourage people to stop working | Only the people who need it most should get something from the state
113,I would probably vote for it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working
114,I would probably vote for it,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs",It might encourage people to stop working
115,I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward
116,I would not vote,None of the above,None of the above
117,I would not vote,None of the above,None of the above
118,I would vote against it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
119,I would probably vote for it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
120,I would vote against it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | It increases dependence on the state
121,I would vote for it,None of the above,None of the above
122,I would vote for it,It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward
123,I would vote for it,It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward
124,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It increases dependence on the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
125,I would probably vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
126,I would vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility",None of the above
127,I would probably vote against it,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
128,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It increases dependence on the state | It is against the principle of linking merit and reward | It might encourage people to stop working
129,I would vote for it,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state
130,I would probably vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working
131,I would probably vote for it,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working
132,I would not vote,None of the above,None of the above
133,I would probably vote for it,It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working
134,I would vote for it,It reduces anxiety about financing basic needs,It is impossible to finance
135,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
136,I would vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
137,I would not vote,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | It increases dependence on the state | Only the people who need it most should get something from the state
138,I would vote for it,It increases appreciation for household work and volunteering,It is against the principle of linking merit and reward
139,I would probably vote for it,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state
140,I would vote against it,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
141,I would not vote,None of the above,None of the above
142,I would vote against it,It increases appreciation for household work and volunteering,It is impossible to finance
143,I would not vote,"It increases solidarity, because it is funded by everyone",It increases dependence on the state
144,I would probably vote against it,It reduces anxiety about financing basic needs,It is impossible to finance | Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
145,I would probably vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
146,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above
147,I would vote against it,It encourages financial independence and self-responsibility,It might encourage people to stop working
148,I would probably vote for it,It reduces bureaucracy and administrative expenses,It increases dependence on the state
149,I would vote for it,None of the above,None of the above
150,I would vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward
151,I would probably vote against it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state | It increases dependence on the state
152,I would vote against it,None of the above,Only the people who need it most should get something from the state
153,I would probably vote against it,It encourages financial independence and self-responsibility,It might encourage people to stop working
154,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It might encourage people to stop working | It increases dependence on the state
155,I would not vote,None of the above,None of the above
156,I would not vote,It encourages financial independence and self-responsibility,It increases dependence on the state
157,I would vote for it,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
158,I would not vote,None of the above,None of the above
159,I would not vote,It creates more equality of opportunity,It is against the principle of linking merit and reward
160,I would vote against it,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit
161,I would probably vote for it,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
162,I would vote against it,None of the above,None of the above
163,I would probably vote for it,It creates more equality of opportunity,Only the people who need it most should get something from the state
164,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
165,I would vote for it,"It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
166,I would vote for it,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It creates more equality of opportunity",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It is against the principle of linking merit and reward
167,I would vote against it,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It is against the principle of linking merit and reward
168,I would probably vote against it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward
169,I would not vote,It creates more equality of opportunity,It might encourage people to stop working | It increases dependence on the state
170,I would probably vote for it,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward
171,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward | It is impossible to finance
172,I would not vote,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
173,I would vote for it,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward
174,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
175,I would not vote,None of the above,None of the above
176,I would not vote,None of the above,None of the above
177,I would not vote,None of the above,None of the above
178,I would probably vote for it,It creates more equality of opportunity,It is impossible to finance
179,I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance | Only the people who need it most should get something from the state | It increases dependence on the state
180,I would vote for it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It increases dependence on the state
181,I would probably vote for it,"It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It is impossible to finance
182,I would vote for it,It reduces bureaucracy and administrative expenses | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,None of the above
183,I would vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
184,I would vote for it,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit
185,I would probably vote for it,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
186,I would probably vote for it,None of the above,It is impossible to finance
187,I would vote against it,None of the above,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It is against the principle of linking merit and reward | It might encourage people to stop working
188,I would not vote,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
189,I would probably vote for it,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state
190,I would vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working
191,I would probably vote for it,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity,None of the above
192,I would probably vote for it,"It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state
193,I would vote for it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
194,I would probably vote for it,None of the above,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
195,I would vote against it,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility",It is against the principle of linking merit and reward | It is impossible to finance | Only the people who need it most should get something from the state
196,I would probably vote against it,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | It increases dependence on the state | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
197,I would vote for it,"It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility",None of the above
198,I would probably vote for it,It encourages financial independence and self-responsibility,It is impossible to finance
199,I would probably vote for it,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
